z,A,psi9,Key
0.01,-0.03,0.0,0.009748702256859526
0.0100230754828386,-0.0300002289134992,-2.6433813054879134e-18,0.009748702256859526
0.0100462042134681,-0.0300004588898868,-5.17929727052006e-18,0.009748702256859526
0.0100693863147602,-0.0300006899340976,-7.494485768166154e-18,0.009748702256859526
0.0100926219098704,-0.0300009220510897,-9.471114754615074e-18,0.009748702256859525
0.0101159111222382,-0.0300011552458437,-1.102510636350014e-17,0.009748702256859525
0.0101392540755881,-0.0300013895233639,-1.2073139835255113e-17,0.009748702256859525
0.0101626508939299,-0.0300016248886773,-1.2581167748446676e-17,0.009748702256859525
0.0101861017015597,-0.0300018613468345,-1.248939017435431e-17,0.009748702256859525
0.0102096066230604,-0.0300020989029097,-1.1809841250131085e-17,0.009748702256859525
0.0102331657833024,-0.0300023375620003,-1.05887232441617e-17,0.009748702256859525
0.0102567793074442,-0.0300025773292276,-8.844716472586303e-18,0.009748702256859526
0.010280447320933,-0.0300028182097366,-6.683232457617028e-18,0.009748702256859526
0.0103041699495058,-0.0300030602086963,-4.1823359339900645e-18,0.009748702256859526
0.0103279473191895,-0.0300033033312996,-1.4649067202917718e-18,0.009748702256859526
0.0103517795563017,-0.0300035475827634,1.334842534137536e-18,0.009748702256859526
0.0103756667874518,-0.030003792968329,4.0801622340727554e-18,0.009748702256859526
0.0103996091395412,-0.030004039493262,6.605836159917036e-18,0.009748702256859526
0.010423606739764,-0.0300042871628523,8.872710284745995e-18,0.009748702256859526
0.010447659715608,-0.0300045359824147,1.0733168888775674e-17,0.009748702256859526
0.0104717681948552,-0.0300047859572882,1.2043091772780745e-17,0.009748702256859526
0.0104959323055822,-0.0300050370928371,1.2761924461608233e-17,0.009748702256859526
0.0105201521761615,-0.0300052893944501,1.2824505014028257e-17,0.009748702256859526
0.0105444279352616,-0.0300055428675413,1.22794780416135e-17,0.009748702256859526
0.010568759711848,-0.0300057975175497,1.1127685040145004e-17,0.009748702256859526
0.0105931476351837,-0.0300060533499398,9.400758193212169e-18,0.009748702256859526
0.01061759183483,-0.0300063103702011,7.175303952835164e-18,0.009748702256859525
0.0106420924406472,-0.030006568583849,4.583145305243942e-18,0.009748702256859523
0.0106666495827953,-0.0300068279964243,1.7637159259919044e-18,0.009748702256859521
0.0106912633917347,-0.0300070886134934,-1.189624903605339e-18,0.009748702256859521
0.0107159339982267,-0.0300073504406487,-4.056291133024e-18,0.00974870225685952
0.0107406615333343,-0.0300076134835087,-6.7537306861478016e-18,0.00974870225685952
0.0107654461284231,-0.0300078777477176,-9.053045724549238e-18,0.00974870225685952
0.0107902879151618,-0.0300081432389462,-1.0947471904733029e-17,0.009748702256859518
0.0108151870255228,-0.0300084099628914,-1.225613736525109e-17,0.009748702256859518
0.0108401435917833,-0.0300086779252766,-1.2879584630857967e-17,0.00974870225685952
0.0108651577465253,-0.0300089471318517,-1.2846562109090189e-17,0.00974870225685952
0.0108902296226373,-0.0300092175883935,-1.2106214154797108e-17,0.009748702256859521
0.0109153593533139,-0.0300094893007055,-1.0713191506998905e-17,0.009748702256859523
0.0109405470720574,-0.030009762274618,-8.79653469156909e-18,0.009748702256859526
0.010965792912678,-0.0300100365159885,-6.312716854007171e-18,0.009748702256859528
0.0109910970092949,-0.0300103120307019,-3.498244162910513e-18,0.00974870225685953
0.0110164594963365,-0.03001058882467,-4.097403995973453e-19,0.009748702256859532
0.0110418805085416,-0.0300108669038323,2.628933457484958e-18,0.009748702256859532
0.0110673601809597,-0.030011146274156,5.634952352651805e-18,0.009748702256859533
0.0110928986489522,-0.0300114269416356,8.24689203884326e-18,0.009748702256859533
0.0111184960481927,-0.0300117089122939,1.0443695498894808e-17,0.009748702256859533
0.0111441525146678,-0.0300119921921813,1.212017541467576e-17,0.009748702256859533
0.0111698681846782,-0.0300122767873764,1.3068547869563053e-17,0.009748702256859533
0.0111956431948387,-0.0300125627039862,1.3283614789898897e-17,0.009748702256859532
0.0112214776820798,-0.0300128499481457,1.2687445922747697e-17,0.009748702256859532
0.0112473717836475,-0.0300131385260187,1.1467753014542957e-17,0.00974870225685953
0.0112733256371048,-0.0300134284437974,9.615575091744603e-18,0.009748702256859528
0.0112993393803322,-0.0300137197077029,7.125998984771782e-18,0.009748702256859526
0.0113254131515281,-0.0300140123239852,4.2040956711083636e-18,0.009748702256859525
0.0113515470892099,-0.0300143062989232,1.0592150375535729e-18,0.009748702256859523
0.0113777413322149,-0.0300146016388249,-2.1753040771865504e-18,0.009748702256859521
0.0114039960197003,-0.0300148983500277,-5.3038806201191446e-18,0.009748702256859521
0.0114303112911447,-0.0300151964388984,-8.059783278590473e-18,0.00974870225685952
0.0114566872863487,-0.0300154959118335,-1.0420674462038813e-17,0.009748702256859518
0.0114831241454351,-0.0300157967752589,-1.2148551342480607e-17,0.009748702256859518
0.0115096220088503,-0.0300160990356305,-1.3098546011321093e-17,0.009748702256859518
0.0115361810173647,-0.0300164026994341,-1.3332158515535318e-17,0.009748702256859518
0.0115628013120737,-0.0300167077731859,-1.2632439831889368e-17,0.00974870225685952
0.0115894830343981,-0.0300170142634319,-1.1325918263306769e-17,0.009748702256859521
0.011616226326085,-0.0300173221767487,-9.26107942646197e-18,0.009748702256859523
0.0116430313292087,-0.0300176315197436,-6.523130957031517e-18,0.009748702256859526
0.0116698981861714,-0.0300179422990544,-3.4472527886853e-18,0.009748702256859528
0.0116968270397038,-0.0300182545213496,-1.8128636457772616e-19,0.00974870225685953
0.0117238180328659,-0.0300185681933289,3.2883248533269133e-18,0.009748702256859532
0.011750871309048,-0.0300188833217229,6.430176596916591e-18,0.009748702256859532
0.0117779870119711,-0.0300191999132937,9.165144359995561e-18,0.009748702256859533
0.011805165285688,-0.0300195179748345,1.1428772922273422e-17,0.009748702256859533
0.0118324062745837,-0.0300198375131702,1.2961157156383352e-17,0.009748702256859533
0.0118597101233766,-0.0300201585351574,1.3624470568984276e-17,0.009748702256859533
0.011887076977119,-0.0300204810476845,1.3383030776951489e-17,0.009748702256859533
0.0119145069811977,-0.0300208050576718,1.2377159648903506e-17,0.009748702256859532
0.0119420002813353,-0.0300211305720719,1.0610577739560459e-17,0.00974870225685953
0.0119695570235904,-0.0300214575978695,7.962628002468986e-18,0.009748702256859528
0.0119971773543588,-0.0300217861420818,4.798744338141256e-18,0.009748702256859526
0.0120248614203741,-0.0300221162117586,1.5067448322363685e-18,0.009748702256859525
0.0120526093687084,-0.0300224478139825,-2.03234210530806e-18,0.009748702256859523
0.0120804213467732,-0.0300227809558688,-5.436409618351953e-18,0.009748702256859521
0.0121082975023204,-0.0300231156445659,-8.503661498588158e-18,0.00974870225685952
0.0121362379834424,-0.0300234518872555,-1.0992628932186869e-17,0.009748702256859518
0.0121642429385736,-0.0300237896911524,-1.2760932248201643e-17,0.009748702256859518
0.0121923125164911,-0.0300241290635053,-1.3738136055225669e-17,0.009748702256859518
0.0122204468663148,-0.0300244700115961,-1.3706149830781e-17,0.009748702256859518
0.0122486461375093,-0.0300248125427407,-1.2744685161286896e-17,0.009748702256859518
0.0122769104798835,-0.0300251566642892,-1.081187604737107e-17,0.00974870225685952
0.0123052400435926,-0.0300255023836253,-8.401478821970662e-18,0.009748702256859523
0.0123336349791377,-0.0300258497081675,-5.177862717508688e-18,0.009748702256859525
0.0123620954373676,-0.0300261986453683,-1.634740581997906e-18,0.009748702256859526
0.0123906215694791,-0.0300265492027153,2.065151945881457e-18,0.009748702256859528
0.0124192135270178,-0.0300269013877303,5.603885049808854e-18,0.00974870225685953
0.012447871461879,-0.0300272552079704,8.731863200582052e-18,0.009748702256859532
0.0124765955263086,-0.0300276106710277,1.1335155126666477e-17,0.009748702256859533
0.0125053858729039,-0.0300279677845296,1.3129813415136984e-17,0.009748702256859533
0.012534242654614,-0.0300283265561386,1.3891161276518394e-17,0.009748702256859533
0.0125631660247412,-0.0300286869935533,1.370414867166914e-17,0.009748702256859533
0.0125921561369415,-0.0300290491045075,1.2540715147484819e-17,0.009748702256859533
0.0126212131452254,-0.0300294128967713,1.0369963781908776e-17,0.009748702256859532
0.012650337203959,-0.0300297783781507,7.569811134929592e-18,0.00974870225685953
0.0126795284678643,-0.0300301455564879,4.152519050893792e-18,0.009748702256859528
0.0127087870920205,-0.0300305144396616,3.270614706372448e-19,0.009748702256859526
0.0127381132318647,-0.0300308850355871,-3.5092836747552076e-18,0.009748702256859525
0.0127675070431926,-0.0300312573522164,-7.081468564254478e-18,0.009748702256859523
0.0127969686821594,-0.0300316313975384,-1.0267084699993393e-17,0.00974870225685952
0.0128264983052806,-0.030032007179579,-1.2583152335949859e-17,0.009748702256859518
0.0128560960694329,-0.0300323847064017,-1.3904918362559946e-17,0.009748702256859518
0.0128857621318551,-0.0300327639861069,-1.431504786373773e-17,0.009748702256859518
0.0129154966501488,-0.0300331450268331,-1.366761242943637e-17,0.009748702256859518
0.0129452997822791,-0.0300335278367563,-1.186897889423814e-17,0.009748702256859518
0.0129751716865758,-0.0300339124240907,-9.267214775693526e-18,0.00974870225685952
0.013005112521734,-0.0300342987970882,-5.791476843079894e-18,0.009748702256859523
0.013035122446815,-0.0300346869640396,-2.1262827563326437e-18,0.009748702256859525
0.0130652016212472,-0.0300350769332736,1.962899358536279e-18,0.009748702256859526
0.0130953502048266,-0.030035468713158,5.7823402610948715e-18,0.00974870225685953
0.0131255683577184,-0.0300358623120992,9.161545196564152e-18,0.009748702256859532
0.013155856240457,-0.0300362577385429,1.1867383426976987e-17,0.009748702256859533
0.0131862140139474,-0.0300366550009736,1.3588206648309488e-17,0.009748702256859533
0.013216641839466,-0.0300370541079155,1.419015012639387e-17,0.009748702256859533
0.0132471398786611,-0.0300374550679323,1.3588212275430172e-17,0.009748702256859535
0.0132777082935542,-0.0300378578896275,1.1960417991625673e-17,0.009748702256859533
0.0133083472465407,-0.0300382625816444,9.304190339716657e-18,0.009748702256859533
0.0133390569003905,-0.0300386691526665,5.826187765817997e-18,0.009748702256859532
0.0133698374182494,-0.0300390776114177,1.9465741518360167e-18,0.00974870225685953
0.0134006889636395,-0.0300394879666622,-2.107717308621307e-18,0.009748702256859526
0.0134316117004601,-0.0300399002272052,-6.2450196330220746e-18,0.009748702256859525
0.0134626057929891,-0.0300403144018925,-9.692330869232485e-18,0.009748702256859521
0.013493671405883,-0.030040730499611,-1.2483415354400562e-17,0.00974870225685952
